"","normal_1","normal_2","normal_3","normal_4","normal_5","normal_6","HD_1","HD_2","HD_3","HD_4","HD_5","HD_6","HD_7","HD_8"
"C2orf49",11.3516676874286,13.7257890022857,23.6963730607143,9.18380371414286,16.2169550178571,17.9504018178571,14.3241265971429,16.9381899278571,12.4817972985,55.6311074307143,11.778397307,15.7691740514286,36.6333206742857,25.6699638464286
"TMEM121",3.434585181,8.66158173907143,2.26244840721429,10.7187496632143,11.778397307,5.63851394985714,2.65961148192857,6.6027328125,2.56371161535714,5.81470921607143,10.1173418631429,3.82819185207143,18.9822827442857,4.32190886142857
"DECR2",83.8805667921429,13.7357393510714,40.0056282142857,17.7612440364286,46.7836933021429,38.2341548292857,79.3872847185714,13.3327183845714,54.7124050742857,74.2280595714286,8.9095799195,62.9756579478571,84.4430736957143,78.43575432
"NUDT18",45.8239033964286,8.19006807585714,75.5798069135714,62.4217547164286,41.6020256735714,56.3119454214286,44.4069198378571,36.3410194485714,50.4630271264286,21.5345119185714,31.3764605214286,38.4636684192857,47.5149188235714,3.39639768528571
"MS4A6A",1014.99928468571,737.207834064286,427.57958545,1199.55472172143,735.615227785714,714.283963471429,381.263282992857,429.228719742857,501.787361357143,350.974124985714,1109.27798136429,1357.55147635714,837.502230364286,986.139850742857
"BANK1",65.8856539057143,102.407736395714,68.3270977042857,85.6832226235714,74.9068989578571,63.43182232,63.1507281535714,31.8959135421429,30.5330550557143,33.7394252635714,43.1577021614286,114.945211228571,109.910355459286,110.640291888571
"GDAP1L1",31.6665373564286,37.9542732078571,84.94514603,40.6271078271429,53.3061095578571,58.1878016028571,5.41972783821429,16.1559788221429,67.5809657557143,17.7207934307143,19.51446641,44.9306039992857,55.2052335228571,28.7672298828571
"CD177",84.8351937485714,46.6129586142857,214.704000464286,28.907494915,102.980783370714,144.167167342857,104.116191825714,188.1623122,153.557493964286,235.095771371429,215.651812678571,103.688891010714,85.3766796092857,34.211997785
"BEND5",25.5948768921429,37.6759407414286,59.0386714735714,26.1677289014286,32.54351721,40.4500992785714,59.0577709185714,7.2224569765,51.6809037021429,85.1396145764286,23.3461374171429,11.8827488787857,43.3590866571429,24.136517895
"HPCAL4",47.0018253464286,23.1155208164286,48.902339775,44.3297044992857,37.131120535,36.4174388821429,46.8292322307143,41.0806437964286,51.5107248171429,48.2451417828571,32.7463768121429,26.5500440964286,30.5563541278571,30.9466750885714
