,normal_1,normal_2,normal_3,normal_4,normal_5,normal_6,normal_7,normal_8,normal_9,normal_10,normal_11,normal_12,normal_13,normal_14,symptomatic_1,symptomatic_2,symptomatic_3,symptomatic_4,symptomatic_5,symptomatic_6,symptomatic_7,symptomatic_8,symptomatic_9,symptomatic_10,symptomatic_11,symptomatic_12
NEFL,31.88913979,44.25650538,31.74677419,28.68145161,35.3541129,43.72526882,59.10295699,31.46505376,33.14483871,53.95913978,40.22446237,28.51935484,18.90067204,21.02557604,44.93650538,40.67327957,34.37473118,49.90145161,38.14822581,42.55053763,36.325,38.30155914,46.55037634,27.91263441,43.15268817,54.34032258
SHTN1,49.65564516,16.7327957,46.1733871,10.43360215,21.76793011,58.86075269,96.11725807,42.48930108,15.32903226,20.59386521,8.003494624,38.86458525,40.66889785,40.90046083,46.26308756,85.60615591,105.8162634,48.22731183,94.73435484,55.08696237,53.51142473,75.35188172,92.90053764,56.12365591,65.28158602,51.86290323
NRBF2,117.4997849,120.7727419,203.3210215,105.3090054,102.6330645,140.4814516,161.9612903,319.8231281,173.677957,109.7373656,100.1467742,183.0650538,95.86612903,93.74188172,442.0327957,224.7225806,383.2500538,134.3746237,272.7235215,414.4344086,319.608871,255.2053763,293.3001344,324.7303763,382.1586022,205.3494624
FAM45A,224.4710753,398.9403226,596.1864516,388.788172,361.5053763,597.3481183,428.7725806,532.772043,688.91,459.0862903,462.6873656,448.9927419,588.109086,474.972043,818.1653226,563.0908602,504.9205837,405.4791935,618.9188172,531.8736559,582.9508065,686.1752151,562.1690476,585.0967742,467.0497312,475.5198925
SETD5,33.91643625,10.31209677,207.5350538,178.7134409,28.69545699,169.0612903,154.950914,236.372043,183.7887903,165.6153495,396.8880254,414.4344086,503.3119379,497.5620968,136.0312903,107.8841398,138.1932796,139.7419355,110.5024194,52.45370968,202.0397849,138.834543,123.9071198,71.91384409,102.9299194,152.3096774
TRABD,9.097043011,8.020250896,12.47043011,35.25629032,7.408064516,6.528225806,23.1094086,5.811290323,5.834677419,8.09516129,7.223655914,12.06438172,10.2938172,14.98172043,6.773655914,9.55,6.927956989,5.514247312,8.093548387,6.475806452,5.052419355,8.748924731,6.385483871,8.926881721,11.78903226,5.413709677
RAB9A,50.49129032,64.85752688,90.80626344,7.802150538,85.78884409,103.3786931,82.75322581,134.0763441,75.4061828,34.44912826,57.52215054,97.44462366,68.9027957,24.51182796,168.4780645,107.8841398,127.8028226,99.45204301,136.1252688,111.6036022,144.6782258,132.1759677,165.0908602,117.3998925,104.6325,100.6744624
RANBP10,134.6008602,106.4592166,124.3508065,83.206819,94.70416667,45.95580645,52.67908602,51.00075269,38.47019713,120.1091398,43.37168203,30.53951613,56.88835125,55.56021505,57.27983871,95.78172043,42.92043011,46.51586021,49.34951613,36.86032258,35.43075269,81.8811828,52.15145161,68.27685484,40.84744624,57.2
RAB15,68.23639785,23.01532258,41.48747312,55.57096774,15.5511828,53.31225806,41.96002688,39.62903226,43.19919355,21.78817204,61.37607527,37.09890553,53.87387865,18.91310484,30.14932796,53.84445853,42.83145161,17.91975806,40.75326421,28.33198925,28.2288172,27.99854071,33.39395161,39.63655914,44.87827957,30.45137097
PGAP3,113.9198925,115.1037634,117.8395161,57.01327957,102.8373925,151.5755914,191.5725806,103.1287634,145.4129032,153.9612903,173.7540323,94.98655914,171.6784946,133.0056452,107.6893817,108.6784946,87.11451613,93.82924731,88.69663978,133.5163978,95.09032258,121.2919086,110.009086,103.1,130.8241935,147.454086
FBXO42,66.95602151,32.74677419,68.98741935,25.03096774,41.30123656,39.05182796,56.89773297,57.16849462,64.98860215,98.87956989,96.85,96.56787635,79.89193548,79.02548387,82.73935484,51.96760753,40.3016129,52.24408602,58.63752688,43.1844086,43.84403226,57.34021505,38.69244624,36.26688172,35.20967742,32.425
ADGRA2,63.20180492,40.13405914,44.07789555,26.30026882,46.17056452,34.53709677,56.89773297,38.61900538,28.71787634,75.51317204,63.18924731,37.62580645,68.83408602,43.8372043,45.89892473,49.0280914,29.61448925,24.73951613,31.94166667,35.16967742,39.98005376,45.85846774,32.92824693,22.61806452,45.00935484,40.85591398
PHF11,389.1155914,141.9091398,231.2682796,91.50913978,428.3134409,427.6423387,235.1998656,398.9403226,347.5010753,457.5879032,200.2898925,316.3983295,321.8640127,287.4225806,357.9125,288.0010753,425.5958333,416.1117512,336.3470968,418.0051808,314.2182796,430.694086,586.9959677,207.0083333,289.1350922,247.1865591
DOLPP1,246.937043,73.55626344,252.3688172,260.3375,375.9968817,255.9127035,328.5803153,286.3250538,231.8387097,222.0526882,251.4998387,304.2506989,241.5837977,170.954086,123.8461828,248.1171774,141.0953226,162.871371,115.3342742,91.79306452,267.0989247,182.4077957,209.7940054,240.9155914,226.6386022,190.5296774
INTS5,206.1231183,123.4361559,167.7013441,143.9966667,159.544086,127.3138441,150.8229391,125.3811828,128.4598118,157.014543,137.6865591,141.558871,172.9185484,90.3766129,106.3712097,141.0607527,95.7344086,77.69336022,124.6316398,105.1801075,98.14663978,126.6602151,66.80956989,105.0754032,124.0746237,93.14247312
KANSL2,12.22795699,12.50228495,76.31760753,24.36962366,50.81821813,76.08534355,15.88924731,62.89502688,72.13064516,49.74598118,73.84516129,94.83698925,107.4063441,31.51021505,142.4591398,77.05322581,141.1603226,141.6967742,145.4793011,137.8296774,164.3142473,153.2107527,138.1564516,65.93077957,104.3297043,67.02043011
SGF29,184.9873925,167.1308871,115.2603495,187.0212366,92.62290323,53.71610215,134.5497312,129.3814516,72.68107527,83.55819892,119.8596774,149.0252688,69.31935484,139.6151613,108.4625806,116.9745161,92.18790323,132.1086022,82.96284946,102.3348325,98.21263441,113.6883333,119.4478495,102.4063586,71.12674731,71.8080914
C5orf30,16.21129032,63.22231183,85.75870968,24.17325269,84.99005376,16.48897849,53.61397849,47.36880952,57.56801075,68.46876344,9.182526882,17.97560484,46.74623656,18.01948925,71.56620968,66.94682796,75.56354839,74.21451613,52.62854839,65.32639785,61.0583871,24.68225806,84.4913172,60.88021505,59.34446237,54.61634409
8-Mar,1099.599695,684.3357527,655.6553763,1167.163172,967.0149642,241.9645161,543.283871,331.7948925,405.4791935,495.0252688,499.7943164,784.9825269,715.0776882,586.9959677,210.5938172,612.5223118,314.2182796,960.9422504,589.1540323,264.9768817,406.2653226,435.2978495,285.6965054,878.5844086,392.8715054,618.9188172
